Model,F1,Accuracy,Precision,Recall,AUROC
nb,0.7664,0.808273,0.732416,0.803691,0.807455
knc,0.621535,0.533815,0.891437,0.477087,0.620603
lr,0.773289,0.819435,0.717125,0.838998,0.823545
svc,0.761578,0.817466,0.678899,0.867188,0.829736
bt,0.808411,0.838477,0.82381,0.793578,0.832922
rb,0.789713,0.817466,0.781437,0.798165,0.815078
rnn,0.757347,0.810243,0.839851,0.689602,0.795319
cnn,0.743745,0.80499,0.853465,0.659021,0.786933
